No.,Pokemon,Biome,Excluded,Excluded Blocks,Time,Weather,Context,Preset,Requirements,Bucket,Weight,Lv. Min,Lv. Max,canseeSky
460,Abomasnow,snowy,tundra,,any,rain,grounded,,,rare,1.0,40,49,true
468,Togekiss,"floral, magical, sky","plains, spooky",,day,clear,grounded,,,ultra-rare,0.9,45,60,true
472,Gliscor,badlands,,,night,any,grounded,natural,,rare,1.4,45,60,true
477,Dusknoir,abyss,,,any,any,grounded,underground,,uncommon,0.05,46,52,false
477,Dusknoir,soul_sand_valley,,,any,any,grounded,,,rare,9.0,46,52,ANY
477,Dusknoir,spooky,,,night,any,grounded,,,rare,9.0,46,52,true
478,Froslass,glacial,,,any,rain,grounded,,,rare,9.0,42,48,true
495,Snivy,jungle,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minZ = 0, neededNearbyBlocks = azalea, neededBaseBlocks = podzol",common,500.0,5,15,true
496,Servine,jungle,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minZ = 0, neededNearbyBlocks = azalea, neededBaseBlocks = podzol",uncommon,250.0,20,25,true
497,Serperior,jungle,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minZ = 0, neededNearbyBlocks = azalea, neededBaseBlocks = podzol",uncommon,250.0,35,45,true
498,Tepig,grassland,,water,day,clear,grounded,,"maxZ = 0, neededNearbyBlocks = azalea, sweet_berry_bush, neededBaseBlocks = tuff",common,500.0,5,15,true
499,Pignite,grassland,,water,day,clear,grounded,,"maxZ = 0, neededNearbyBlocks = azalea, sweet_berry_bush, neededBaseBlocks = tuff",uncommon,250.0,20,25,true
500,Emboar,grassland,,water,day,clear,grounded,,"maxZ = 0, neededNearbyBlocks = azalea, sweet_berry_bush, neededBaseBlocks = tuff",uncommon,250.0,35,45,true
501,Oshawott,coast,freezing,"grass, grass_block",day,any,grounded,,"maxX = 0, neededNearbyBlocks = kelp, neededBaseBlocks = stone",common,500.0,5,15,true
502,Dewott,coast,freezing,"grass, grass_block",day,any,grounded,,"maxX = 0, neededNearbyBlocks = kelp, neededBaseBlocks = stone",uncommon,250.0,20,25,true
503,Samurott,coast,freezing,"grass, grass_block",day,any,grounded,,"maxX = 0, neededNearbyBlocks = kelp, neededBaseBlocks = stone",uncommon,250.0,35,45,true
504,Patrat,plains,,,any,any,grounded,natural,,common,5.0,5,25,true
505,Watchog,plains,,,any,any,grounded,natural,,common,0.01,20,40,true
506,Lillipup,plains,,,any,any,grounded,urban,,common,9.0,5,21,true
507,Herdier,plains,,,any,any,grounded,urban,,common,3.0,16,40,true
508,Stoutland,plains,,,any,any,grounded,urban,,uncommon,5.0,32,50,true
509,Purrloin,plains,,,any,any,grounded,urban,,common,5.0,5,25,true
510,Liepard,plains,,,any,any,grounded,urban,,uncommon,5.0,20,45,true
511,Pansage,jungle,,,any,any,grounded,natural,,uncommon,6.0,5,30,true
512,Simisage,jungle,,,any,any,grounded,natural,,uncommon,6.0,5,30,true
513,Pansear,jungle,,,any,clear,grounded,natural,,uncommon,6.0,5,30,true
514,Simisear,jungle,,,any,clear,grounded,natural,,rare,9.0,25,50,true
515,Panpour,jungle,,,any,any,grounded,natural,,rare,9.0,25,50,true
516,Simipour,jungle,,,any,any,grounded,natural,,rare,9.0,25,50,true
517,Munna,forest,,,night,clear,grounded,natural,,rare,6.0,5,30,true
518,Musharna,forest,,,night,clear,grounded,natural,,rare,0.05,25,50,true
519,Pidove,temperate,,,day,any,grounded,natural,,common,9.0,5,25,true
520,Tranquill,temperate,,,day,any,grounded,natural,,common,1.0,21,38,true
521,Unfezant,temperate,,,day,any,grounded,natural,,uncommon,1.0,32,50,true
522,Blitzle,savanna,,,any,any,grounded,natural,,common,2.0,5,30,true
523,Zebstrika,savanna,,,any,any,grounded,natural,,rare,9.0,27,50,true
524,Roggenrola,mountain,,,any,any,grounded,natural,,common,4.0,5,25,true
525,Boldore,mountain,,,any,any,grounded,natural,,uncommon,4.0,25,45,true
526,Gigalith,mountain,,,any,any,grounded,natural,,rare,4.0,24,60,true
527,Woobat,jungle,,,night,clear,grounded,natural,,common,9.0,5,30,true
528,Swoobat,jungle,,,night,clear,grounded,natural,,ultra-rare,9.0,40,50,true
529,Drilbur,cave,,,any,any,grounded,natural,,uncommon,7.0,5,35,ANY
529,Drilbur,"temperate, plains",,,any,any,grounded,natural,"neededNearbyBlocks = farmland, dirt",rare,4.0,5,35,ANY
529,Drilbur,overworld,,,any,any,grounded,natural,"neededNearbyBlocks = rail, oak_planks, dirt",common,5.0,5,35,false
530,Excadrill,cave,,,any,any,grounded,natural,,rare,5.0,31,50,ANY
530,Excadrill,"temperate, plains",,,any,any,grounded,natural,"neededNearbyBlocks = farmland, dirt",rare,1.0,31,50,ANY
530,Excadrill,overworld,,,any,any,grounded,natural,"neededNearbyBlocks = rail, oak_planks, dirt",common,1.0,31,50,false
531,Audino,"floral, magical, plains",,,any,any,grounded,,,uncommon,10,20,48,true
532,Timburr,"highlands, hills, mountain, plains",,,any,any,grounded,urban,,common,5.4,12,30,true
533,Gurdurr,"highlands, hills, mountain, plains",,,any,any,grounded,urban,,common,0.54,28,40,true
534,Conkeldurr,"highlands, hills, mountain, plains",,,any,any,grounded,urban,,common,0.06,41,50,true
535,Tympole,swamp,,,any,any,submerged,underwater,,common,9.0,5,30,true
536,Palpitoad,swamp,,,any,any,submerged,underwater,,uncommon,5.0,25,40,true
537,Seismitoad,swamp,,,any,rain,submerged,underwater,,rare,1.0,36,60,true
538,Throh,mountain,,,any,any,grounded,natural,,uncommon,5.0,5,60,true
539,Sawk,mountain,,,any,any,grounded,natural,,uncommon,5.0,5,60,true
540,Sewaddle,forest,spooky,,day,any,grounded,natural,,uncommon,9.0,5,30,true
541,Swadloon,forest,spooky,,day,any,grounded,natural,,uncommon,1.0,25,40,true
542,Leavanny,forest,spooky,,day,any,grounded,natural,,ultra-rare,5.0,40,60,true
543,Venipede,temperate,,,any,any,grounded,natural,,uncommon,4.0,5,22,ANY
544,Whirlipede,temperate,,,any,any,grounded,natural,,uncommon,0.05,22,35,ANY
545,Scolipede,temperate,,,any,any,grounded,natural,,rare,4.0,30,60,ANY
546,Cottonee,floral,,,day,any,grounded,,,uncommon,9,5,25,true
547,Whimsicott,floral,,,day,any,grounded,,,uncommon,0.1,25,40,true
548,Petilil,floral,,,day,any,grounded,,,uncommon,9,13,27,true
549,Lilligant,floral,,,day,any,grounded,,,uncommon,0.1,28,41,true
551,Sandile,desert,,,any,any,grounded,natural,,common,3.0,5,32,true
552,Krokorok,desert,,,night,any,grounded,natural,,uncommon,5.0,29,45,true
553,Krookodile,desert,,,night,any,grounded,natural,,rare,5.0,40,60,true
559,Scraggy,badlands,,,any,any,grounded,natural,,common,5.0,5,45,true
560,Scrafty,badlands,,,any,any,grounded,natural,,uncommon,5.0,39,60,true
562,Yamask,desert,,,any,any,grounded,natural,"neededNearbyBlocks = chiseled_red_sandstone, chiseled_sandstone, cut_red_sandstone, cut_red_sandstone_slab, cut_sandstone, cut_sandstone_slab, red_sandstone_slab, red_sandstone_stairs, red_sandstone_wall, sandstone_stairs, sandstone_wall, smooth_red_sandstone, smooth_red_sandstone_slab, smooth_red_sandstone_stairs, smooth_sandstone, smooth_sandstone_slab, smooth_sandstone_stairs",uncommon,9,10,27,true
562,Yamask,desert,,,any,any,grounded,natural,"neededNearbyBlocks = chiseled_red_sandstone, chiseled_sandstone, cut_red_sandstone, cut_red_sandstone_slab, cut_sandstone, cut_sandstone_slab, red_sandstone_slab, red_sandstone_stairs, red_sandstone_wall, sandstone_stairs, sandstone_wall, smooth_red_sandstone, smooth_red_sandstone_slab, smooth_red_sandstone_stairs, smooth_sandstone, smooth_sandstone_slab, smooth_sandstone_stairs",uncommon,1,34,48,false
562,Yamask Galarian,overworld,,,any,any,grounded,natural,"neededNearbyBlocks = chiseled_stone_bricks, stone_bricks, cracked_stone_bricks, mossy_stone_bricks, stone_brick_slab, stone_brick_stairs",uncommon,1,34,48,false
562,Yamask Galarian,overworld,,,any,any,grounded,natural,"neededNearbyBlocks = chiseled_stone_bricks, stone_bricks, cracked_stone_bricks, mossy_stone_bricks, stone_brick_slab, stone_brick_stairs",uncommon,1,34,48,true
563,Cofagrigus,desert,,,any,any,grounded,natural,"neededNearbyBlocks = chiseled_red_sandstone, chiseled_sandstone, cut_red_sandstone, cut_red_sandstone_slab, cut_sandstone, cut_sandstone_slab, red_sandstone_slab, red_sandstone_stairs, red_sandstone_wall, sandstone_stairs, sandstone_wall, smooth_red_sandstone, smooth_red_sandstone_slab, smooth_red_sandstone_stairs, smooth_sandstone, smooth_sandstone_slab, smooth_sandstone_stairs",uncommon,1,34,48,true
563,Cofagrigus,desert,,,any,any,grounded,natural,"neededNearbyBlocks = chiseled_red_sandstone, chiseled_sandstone, cut_red_sandstone, cut_red_sandstone_slab, cut_sandstone, cut_sandstone_slab, red_sandstone_slab, red_sandstone_stairs, red_sandstone_wall, sandstone_stairs, sandstone_wall, smooth_red_sandstone, smooth_red_sandstone_slab, smooth_red_sandstone_stairs, smooth_sandstone, smooth_sandstone_slab, smooth_sandstone_stairs",uncommon,1,34,48,false
564,Tirtouga,lush,,,any,any,grounded,natural,,uncommon,1.0,5,40,false
565,Carracosta,lush,,,any,any,grounded,natural,,rare,1.0,37,60,false
566,Archen,lush,,,any,any,grounded,natural,,uncommon,1.0,5,40,false
567,Archeops,lush,,,any,any,grounded,natural,,rare,1.0,37,60,false
568,Trubbish,overworld,,,any,any,grounded,urban,,uncommon,9.0,5,40,true
569,Garbodor,overworld,,,any,any,grounded,urban,,uncommon,0.1,36,60,true
570,Zorua,forest,snowy,,night,any,grounded,natural,,uncommon,9.0,15,25,true
571,Zoroark,forest,snowy,,night,any,grounded,natural,,uncommon,9.0,30,45,true
572,Minccino,magical,,,any,any,grounded,natural,,common,9.0,5,25,true
573,Cinccino,magical,,,any,any,grounded,natural,,rare,9.0,15,49,true
574,Gothita,spooky,,,any,any,grounded,natural,,uncommon,5.0,5,35,true
575,Gothorita,spooky,,,any,any,grounded,natural,,rare,5.0,32,46,true
576,Gothitelle,spooky,,,any,any,grounded,natural,,ultra-rare,6.0,41,60,true
577,Solosis,magical,,,day,any,grounded,natural,,rare,9.0,5,35,true
578,Duosion,magical,,,day,any,grounded,natural,,rare,1.0,32,45,true
579,Reuniclus,magical,,,day,any,grounded,natural,,ultra-rare,3.0,41,60,true
580,Ducklett,freshwater,,,day,any,surface,water_surface,,common,9.0,5,40,true
581,Swanna,freshwater,,,day,any,surface,water_surface,,rare,5.0,35,55,true
582,Vanillite,freezing,,,any,any,grounded,natural,,common,4.0,5,37,false
583,Vanillish,freezing,,,any,any,grounded,natural,,uncommon,4.0,35,50,false
584,Vanilluxe,freezing,,,any,any,grounded,natural,,rare,4.0,47,60,false
588,Karrablast,mountain,,,any,any,grounded,natural,,rare,5.0,5,25,true
589,Escavalier,mountain,,,any,any,grounded,natural,,ultra-rare,5.0,25,50,true
590,Foongus,mushroom,,,night,any,grounded,natural,,common,7.0,5,43,true
591,Amoongus,mushroom,,,night,any,grounded,natural,,common,1.0,39,55,true
592,Frillish,ocean,,,night,any,surface,water_surface,,common,9.0,5,45,true
593,Jellicent,ocean,,,night,any,surface,water_surface,,rare,9.0,40,60,true
594,Alomomola,ocean,,,day,any,surface,water_surface,,uncommon,5.0,15,40,true
597,Ferroseed,forest,,,any,any,grounded,natural,,uncommon,9,15,25,ANY
597,Ferroseed,cave,,,any,any,grounded,,,rare,5.4,15,25,ANY
598,Ferrothorn,forest,,,any,any,grounded,natural,,uncommon,0.1,41,53,ANY
598,Ferrothorn,"cave, lush",,,any,any,grounded,underground,,ultra-rare,0.5,41,53,false
602,Tynamo,ocean,,,any,any,submerged,underwater,,uncommon,7.0,5,42,ANY
603,Eelektrik,ocean,,,any,any,submerged,underwater,,uncommon,1.0,39,50,ANY
604,Eelektross,ocean,,,any,any,submerged,underwater,,rare,1.0,45,60,ANY
607,Litwick,"spooky, caves, nether",,,any,any,grounded,,neededNearbyBlocks = torch,uncommon,9,5,25,false
608,Lampent,"spooky, caves, nether",,,any,any,grounded,,neededNearbyBlocks = lantern,rare,1,20,32,false
609,Chandelure,"spooky, caves, nether",,,any,any,grounded,,neededNearbyBlocks = soul_lantern,ultra-rare,1,20,32,false
610,Axew,cave,,,any,any,grounded,,,rare,9,18,24,false
610,Axew,cave,,,any,any,grounded,,,rare,9,18,24,true
610,Axew,mountain,,,any,any,grounded,,,rare,5.4,18,24,true
611,Fraxure,cave,,,any,any,grounded,,,rare,0.9,36,40,false
611,Fraxure,cave,,,any,any,grounded,,,rare,0.9,36,40,true
611,Fraxure,mountain,,,any,any,grounded,,,rare,0.5,36,40,true
612,Haxorus,cave,,,any,any,grounded,underground,,ultra-rare,0.1,48,60,false
612,Haxorus,cave,,,any,any,grounded,underground,,ultra-rare,0.1,48,60,true
612,Haxorus,mountain,,,any,any,grounded,,,rare,0.06,48,60,true
613,Cubchoo,frozen,,,any,any,grounded,natural,,uncommon,5.0,5,40,true
614,Beartic,frozen,,,any,any,grounded,natural,,rare,1.0,37,60,true
616,Shelmet,swamp,,,any,any,grounded,natural,,uncommon,2.0,5,25,true
617,Accelgor,swamp,,,any,any,grounded,natural,,rare,1.0,15,30,true
618,Stunfisk,swamp,,,any,any,seafloor,underwater,,uncommon,9.0,15,40,true
619,Mienfoo,temperate,,,any,any,grounded,natural,,uncommon,5.0,10,55,true
620,Mienshao,temperate,,,any,any,grounded,natural,,rare,1.0,50,65,true
621,Druddigon,mountain,abyss,,any,any,grounded,natural,,rare,7.0,30,60,false
624,Pawniard,bamboo,,,any,any,grounded,natural,,common,9.0,5,52,true
624,Pawniard,minecraftriver,,,any,any,grounded,natural,,rare,9.0,15,55,true
625,Bisharp,bamboo,,,any,any,grounded,natural,,uncommon,0.9,52,65,true
625,Bisharp,minecraftriver,,,any,any,grounded,natural,,rare,0.9,52,65,true
626,Bouffalant,plains,,,day,any,grounded,natural,,common,1.0,15,45,true
627,Rufflet,"forest, mountain",,,day,any,grounded,,,uncommon,6,10,54,true
628,Braviary,"forest, mountain",,,day,any,grounded,,,uncommon,0.06,54,70,true
629,Vullaby,arid,,,day,clear,grounded,natural,,uncommon,5.0,5,57,true
630,Mandibuzz,arid,,,day,clear,grounded,natural,,rare,5.0,57,65,true
633,Deino,cave,,,any,any,grounded,,,rare,9,12,30,false
633,Deino,cave,,,any,any,grounded,,,rare,9,12,30,true
633,Deino,mountain,,,any,any,grounded,,,rare,5.4,12,30,true
633,Deino,highlands,,,any,any,grounded,,,ultra-rare,5.4,12,30,true
634,Zweilous,cave,,,any,any,grounded,,,rare,0.9,24,47,false
634,Zweilous,cave,,,any,any,grounded,,,rare,0.9,24,47,true
634,Zweilous,mountain,,,any,any,grounded,,,rare,0.5,24,47,true
634,Zweilous,highlands,,,any,any,grounded,,,ultra-rare,0.5,24,47,true
635,Hydreigon,cave,,,any,any,grounded,,,rare,0.1,48,60,false
635,Hydreigon,cave,,,any,any,grounded,,,rare,0.1,48,60,true
635,Hydreigon,mountain,,,any,any,grounded,,,rare,0.06,48,60,true
635,Hydreigon,highlands,,,any,any,grounded,,,ultra-rare,0.1,48,60,true
650,Chespin,forest,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minZ = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",common,500.0,5,15,true
651,Quilladin,forest,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minZ = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",uncommon,250.0,20,25,true
652,Chesnaught,forest,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minZ = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",uncommon,250.0,35,45,true
653,Fennekin,desert,,water,day,clear,grounded,,"minZ = 0, neededNearbyBlocks = hay_block, neededBaseBlocks = packed_mud",common,500.0,5,15,true
654,Braixen,desert,,water,day,clear,grounded,,"minZ = 0, neededNearbyBlocks = hay_block, neededBaseBlocks = packed_mud",uncommon,250.0,20,25,true
655,Delphox,desert,,water,day,clear,grounded,,"minZ = 0, neededNearbyBlocks = hay_block, neededBaseBlocks = packed_mud",uncommon,250.0,35,45,true
656,Froakie,jungle,freezing,"grass, grass_block",day,any,grounded,,"minZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",common,500.0,5,15,true
657,Frogadier,jungle,freezing,"grass, grass_block",day,any,grounded,,"minZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",uncommon,250.0,20,25,true
658,Greninja,jungle,freezing,"grass, grass_block",day,any,grounded,,"minZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",uncommon,250.0,35,45,true
659,Bunnelby,grassland,,,any,any,grounded,natural,,common,6.0,5,25,ANY
660,Diggersby,grassland,,,any,any,grounded,natural,,common,1.0,20,40,ANY
661,Fletchling,"forest, sky, taiga",,,any,clear,grounded,natural,,common,7.0,5,21,true
662,Fletchinder,"forest, sky, taiga",,,any,clear,grounded,natural,,uncommon,5.0,17,39,true
663,Talonflame,"forest, sky, taiga",,,any,clear,grounded,natural,,rare,5.0,35,51,true
667,Litleo,savanna,,,any,any,grounded,natural,,uncommon,6.0,5,35,true
668,Pyroar,savanna,,,any,any,grounded,natural,,common,5.0,35,55,true
669,Flabebe,floral,,,day,any,grounded,natural,,common,7.0,5,21,true
670,Floette,floral,,,day,any,grounded,natural,,common,1.0,19,35,true
671,Florges,floral,,,day,any,grounded,natural,,rare,0.05,35,50,true
672,Skiddo,mountain,,,any,any,grounded,natural,,common,9.0,5,35,true
673,Gogoat,mountain,,,any,any,grounded,natural,,uncommon,9.0,32,45,true
674,Pancham,bamboo,,,any,any,grounded,natural,,uncommon,9.0,5,40,true
675,Pangoro,bamboo,,,any,any,grounded,natural,,uncommon,0.05,32,60,true
676,Furfrou,overworld,,,any,any,grounded,natural,,uncommon,5.0,15,40,true
682,Spritzee,floral,,,any,any,grounded,natural,,uncommon,5.0,5,30,true
683,Aromatisse,floral,,,any,any,grounded,natural,,uncommon,0.05,25,50,true
684,Swirlix,magical,,,any,any,grounded,natural,,uncommon,9.0,5,30,true
685,Slurpuff,magical,,,any,any,grounded,natural,,uncommon,0.05,25,50,true
686,Inkay,coast,beach,,any,any,grounded,underwater,,uncommon,9.0,5,35,true
687,Malamar,coast,beach,,any,any,grounded,underwater,,rare,2.0,30,50,true
688,Binacle,ocean,,,any,any,seafloor,underwater,,common,5.0,5,43,ANY
689,Barbaracle,ocean,,,any,any,seafloor,underwater,,rare,1.0,39,60,ANY
690,Skrelp,lukewarm,,,any,any,submerged,underwater,,uncommon,9.0,5,50,true
691,Dragalge,lukewarm,,,any,any,submerged,underwater,,rare,3.0,48,65,true
692,Clauncher,coast,,,any,any,seafloor,underwater,,common,9.0,5,41,true
693,Clawitzer,coast,,,any,any,submerged,underwater,,common,1.0,37,60,true
694,Helioptile,sandy,,,any,any,grounded,natural,,common,9.0,5,30,true
695,Heliolisk,sandy,,,any,any,grounded,natural,,common,0.05,25,50,true
696,Tyrunt,lush,,,any,any,grounded,natural,,rare,9.0,10,45,ANY
697,Tyrantrum,lush,,,any,any,grounded,natural,,ultra-rare,1.0,39,60,ANY
698,Amaura,lush,,,any,any,grounded,natural,,rare,9.0,10,45,ANY
699,Aurorus,lush,,,any,any,grounded,natural,,ultra-rare,1.0,39,60,ANY
701,Hawlucha,mountain,,,any,any,grounded,natural,,rare,5.0,20,60,true
702,Dedenne,plains,,,any,any,grounded,natural,,uncommon,7.0,5,45,true
703,Carbink,overworld,abyss,,any,any,grounded,natural,"neededNearbyBlocks = diamond_ore, amethyst_block",ultra-rare,4.0,20,40,false
704,Goomy,swamp,,,any,rain,grounded,natural,,uncommon,9.0,5,45,true
705,Sliggoo,swamp,,,any,rain,grounded,natural,,rare,9.0,40,60,true
706,Goodra,swamp,,,any,rain,grounded,natural,,ultra-rare,9.0,50,70,true
707,Klefki,plains,,,any,any,grounded,natural,,rare,5.0,20,40,false
714,Noibat,cave,,,any,any,grounded,natural,,uncommon,9.0,5,50,false
715,Noivern,cave,,,any,any,grounded,natural,,uncommon,0.6,48,65,false
722,Rowlet,taiga,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",night,clear,grounded,,"maxZ = 0, neededNearbyBlocks = azalea, neededBaseBlocks = podzol",common,500.0,5,15,true
723,Dartrix,taiga,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",night,clear,grounded,,"maxZ = 0, neededNearbyBlocks = azalea, neededBaseBlocks = podzol",uncommon,250.0,20,25,true
724,Decidueye,taiga,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",night,clear,grounded,,"maxZ = 0, neededNearbyBlocks = azalea, neededBaseBlocks = podzol",uncommon,250.0,35,45,true
725,Litten,jungle,,water,day,clear,grounded,,"maxX = 0, neededNearbyBlocks = hay_block, neededBaseBlocks = tuff",common,500.0,5,15,true
726,Torracat,jungle,,water,day,clear,grounded,,"maxX = 0, neededNearbyBlocks = hay_block, neededBaseBlocks = tuff",uncommon,250.0,20,25,true
727,Incineroar,jungle,,water,day,clear,grounded,,"maxX = 0, neededNearbyBlocks = hay_block, neededBaseBlocks = tuff",uncommon,250.0,35,45,true
728,Popplio,coast,freezing,"grass, grass_block",day,any,grounded,,"minX = 0, neededNearbyBlocks = prismarine, neededBaseBlocks = stone",common,500.0,5,15,true
729,Brionne,coast,freezing,"grass, grass_block",day,any,grounded,,"minX = 0, neededNearbyBlocks = prismarine, neededBaseBlocks = stone",uncommon,250.0,20,25,true
730,Primarina,coast,freezing,"grass, grass_block",day,any,grounded,,"minX = 0, neededNearbyBlocks = prismarine, neededBaseBlocks = stone",uncommon,250.0,35,45,true
734,Yungoos,plains,,,any,any,grounded,natural,,common,5.0,5,25,true
735,Gumshoos,plains,,,any,any,grounded,natural,,common,1.0,20,35,true
736,Grubbin,jungle,,,any,any,grounded,natural,,common,5.0,5,20,true
737,Charjabug,jungle,,,any,any,grounded,natural,,uncommon,6.0,20,40,true
738,Vikavolt,jungle,,,any,any,grounded,natural,,rare,6.0,25,50,true
739,Crabrawler,coast,,,any,any,seafloor,underwater,,common,9.0,10,30,true
740,Crabominable,coast,,,any,any,seafloor,underwater,,uncommon,1.0,25,50,true
742,Cutiefly,forest,,,any,any,grounded,natural,,uncommon,8.0,5,25,true
743,Ribombee,forest,,,any,any,grounded,natural,,uncommon,1.0,25,40,true
744,Rockruff,"forest, grassland, snowy",spooky,,day,any,grounded,"natural, urban",,uncommon,5.94,12,24,true
745,Lycanroc,"forest, grassland, snowy",spooky,,day,any,grounded,natural,,uncommon,0.5,28,44,true
745,Lycanroc Midnight,"forest, grassland, snowy",,,night,any,grounded,natural,,uncommon,0.5,28,44,true
745,Lycanroc Dusk,"forest, grassland, snowy",spooky,,dusk,any,grounded,natural,,uncommon,0.5,28,44,true
746,Wishiwashi,ocean,,,any,any,submerged,,,rare,9,5,30,true
747,Mareanie,coast,,,any,any,seafloor,underwater,,uncommon,9.0,10,40,true
748,Toxapex,coast,,,any,any,seafloor,underwater,,rare,9.0,38,60,true
749,Mudbray,plains,,,any,any,grounded,natural,,uncommon,9.0,5,35,true
750,Mudsdale,plains,,,any,any,grounded,natural,,uncommon,4.0,30,60,true
751,Dewpider,"swamp, coast, island",,,any,any,grounded,,,common,5,1,21,true
751,Dewpider,"river, freshwater",,,any,any,submerged,"freshwater, underwater",,common,5,1,21,true
752,Araquanid,"swamp, coast, island",,,any,any,grounded,,,common,0.4,1,21,true
752,Araquanid,"river, freshwater",,,any,any,submerged,"freshwater, underwater",,common,0.4,1,21,true
753,Fomantis,jungle,,,any,any,grounded,natural,,common,6.0,5,39,true
754,Lurantis,jungle,,,any,any,grounded,natural,,common,0.5,36,60,true
757,Salandit,"basalt_deltas, volcanic",,,any,any,grounded,,,uncommon,5.0,15,32,true
758,Salazzle,"basalt_deltas, volcanic",,,any,any,grounded,,,rare,2.0,33,45,true
759,Stufful,forest,,,any,any,grounded,natural,,common,2.0,12,27,true
760,Bewear,forest,,,any,any,grounded,natural,,uncommon,0.5,27,38,true
761,Bounsweet,jungle,,,any,any,grounded,"natural, treetop",,common,1.8,4,21,true
762,Steenee,jungle,,,any,any,grounded,natural,,common,0.18,18,29,true
763,Tsareena,jungle,,,any,any,grounded,natural,,common,0.02,28,51,true
764,Comfey,floral,,,any,any,grounded,natural,,uncommon,1.0,10,22,true
765,Oranguru,jungle,,,any,any,grounded,treetop,,uncommon,2.0,15,35,true
766,Passimian,jungle,,,any,any,grounded,treetop,,uncommon,2.0,15,35,true
767,Wimpod,beach,,,any,any,grounded,,,rare,9,15,29,ANY
768,Golisopod,beach,,,any,any,grounded,,,rare,0.1,30,55,ANY
769,Sandygast,beach,,,any,any,grounded,,,uncommon,3.0,22,40,true
770,Palossand,beach,,,any,any,grounded,,,rare,1.0,42,55,true
771,Pyukumuku,"beach, ocean, reef",reef,,any,any,grounded,natural,,uncommon,6.0,15,41,true
772,Type: Null,overworld,,,any,any,grounded,derelict,,rare,3.0,12,30,true
773,Silvally,overworld,,,any,any,grounded,derelict,,rare,0.5,32,50,true
775,Komala,savanna,,,any,any,grounded,natural,,uncommon,1.0,15,30,true
776,Turtonator,"basalt_deltas, thermal, volcanic",,,any,any,grounded,natural,,uncommon,2.0,18,32,ANY
777,Togedemaru,mountain,,,any,any,grounded,natural,,uncommon,2.0,15,27,true
778,Mimikyu,"spooky, spooky, spooky, spooky",,,any,any,grounded,natural,,rare,4.0,12,48,ANY
778,Mimikyu,overworld,,,night,any,grounded,,"neededNearbyBlocks = yellow_carpet, yellow_banner, yellow_bed",uncommon,50,15,30,false
778,Mimikyu,minecraftoverworld,,,night,any,grounded,urban,,rare,5.0,20,35,ANY
779,Bruxish,ocean,,,any,any,submerged,underwater,,uncommon,1.0,14,30,true
780,Drampa,peak,,,any,any,grounded,natural,,rare,1.0,25,42,true
780,Drampa,sky,,,any,any,grounded,natural,,rare,1.0,25,42,true
782,Jangmo-O,jungle,,,any,any,grounded,natural,,rare,3.0,15,32,ANY
783,Hakamo-O,jungle,,,any,any,grounded,natural,,rare,0.8,35,42,ANY
784,Kommo-O,jungle,,,any,any,grounded,natural,,rare,0.2,45,55,ANY
810,Grookey,forest,"snowy, taiga","fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minX = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",common,500.0,5,15,true
